niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
vpn,private-internet-access,pia-3yr,2026-07_r1,https://www.privateinternetaccess.com/buy-vpn-online,2026-07-17T21:18:01.341Z,200,json_ld,offers.price,USD 2.75 (JSON-LD),USD,month,97a94832511ed3af,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,2.75,,,,true,observed_new,,periode uit vendor-config (pagina toonde geen termijn bij de prijs)
vpn,privadovpn,privado-24m,2026-07_r1,https://privadovpn.com/pricing/,2026-07-17T21:18:05.481Z,200,json_ld,offers.price,USD 1.11 (JSON-LD),USD,month,96491fe5e1f28d81,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,1.11,1.99,css_selector,,true,under_review,extractor_disagreement,gevlagd: extractor_disagreement
vpn,privatevpn,privatevpn-deal,2026-07_r1,https://privatevpn.com/prices/,2026-07-17T21:18:09.662Z,200,manual,,,,unknown,af786579c5b99ae6,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 358119 bytes)"
vpn,purevpn,purevpn-std-2yr,2026-07_r1,https://www.purevpn.com/order,2026-07-17T21:18:46.651Z,200,json_ld,offers.price,USD 2.15 (JSON-LD),USD,month,2c7f559b028010e8,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,2.15,1.49,css_selector,4,unknown,under_review,extractor_disagreement,gevlagd: extractor_disagreement
vpn,cyberghost,cyberghost-2yr,2026-07_r1,https://www.cyberghostvpn.com/en_US/pricing,2026-07-17T21:18:50.366Z,200,json_ld,offers.price,EUR 2.75 (JSON-LD),EUR,month,60b5a9689307a695,,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,3.14,,,,unknown,observed_new,,periode uit vendor-config (pagina toonde geen termijn bij de prijs)
vpn,surfshark,surfshark-starter,2026-07_r1,https://surfshark.com/pricing,2026-07-17T21:18:55.355Z,200,css_selector,text-proximity,€2.29 | th Save 86% Surfshark Starter €2.29 /mo. + 3 EXTRA months old price €444.15 sale price €61.83 for the first 27 months (V,EUR,month,405e984bfff784c3,,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,2.62,,,,unknown,observed_new,,
vpn,hide-me,hideme,2026-07_r1,https://hide.me/en/pricing,2026-07-17T21:18:58.339Z,200,manual,,,,unknown,a7caf1fddd78f053,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 113299 bytes)"
vpn,ipvanish,ipvanish-2yr,2026-07_r1,https://www.ipvanish.com/pricing/,2026-07-17T21:19:06.567Z,200,css_selector,text-proximity,$2.19 | hly Best Protection Essential $2.19 /mo $311.76 $52.56 for the first 2 years. Renews Yearly at $89.99. Get Essential 30,USD,month,903834d45757e29c,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,2.19,,,7.5,unknown,observed_new,,
vpn,tunnelbear,tunnelbear-unlimited,2026-07_r1,https://www.tunnelbear.com/pricing/,2026-07-17T21:19:15.344Z,200,css_selector,text-proximity,$3.33 | riority customer support from $3.33 /mo Get started Teams For businesses securing 2+ users Unlimited secure browsing Unl,USD,month,a864fd2a0c76b577,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,3.33,,,,unknown,observed_new,,
vpn,nordvpn,nordvpn-2yr,2026-07_r1,https://nordvpn.com/pricing/,2026-07-17T21:19:18.024Z,200,css_selector+render,text-proximity,€3.49 | 2-year plans ▾ Basic Save 69% €3.49 per month /mo + 3 EXTRA months €312.93 €94.23 for the first 27 months. VAT may apply,EUR,month,8667201fb85b6d26,,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,3.99,,,13.25,true,observed_new,,
vpn,proton-vpn,protonvpn-plus,2026-07_r1,https://protonvpn.com/pricing,2026-07-17T21:19:27.315Z,200,css_selector,text-proximity,USD 100 | . Compare plans . . . CHF EUR USD 100M+ accounts 100M+ 4.7+ app rating 4.7+ Swiss-based Featured in: Compare plans 1 mon,USD,month,2af86c5ed268ed21,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,100,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
vpn,mozilla-vpn,mozilla-vpn,2026-07_r1,https://www.mozilla.org/products/vpn/pricing/,2026-07-17T21:19:31.533Z,200,css_selector,text-proximity,€4.99 | mers only) Recommended Annual €4.99 /month Save 50% €59.88 total Get annual subscription 30-day money-back guarantee Mon,EUR,month,117875e0373c36fd,,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,5.71,,,,unknown,observed_new,,
vpn,mullvad,mullvad-flat,2026-07_r1,https://mullvad.net/en/pricing,2026-07-17T21:19:34.500Z,200,css_selector,text-proximity,€5 | ility. Including VAT. 1 month €5 per month 1 year €5 per month 1 decade €5 per month €5 is equivalent to $5.72 £4.25 SEK,EUR,month,9d9727006a284b8c,,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,5.72,,,,true,observed_new,,
vpn,windscribe,windscribe-pro,2026-07_r1,https://windscribe.com/upgrade,2026-07-17T21:19:38.043Z,200,css_selector,text-proximity,$5.75 | illed $69 USD every 12 months $5.75 per month Buy Now Most Popular Select Payment Method Credit Card PayPal Cryptocurren,USD,month,83a7d7213aa9292f,,prijsmeter-1.0.0/v1-2026-07,1,2026-07-17,5.75,,,,unknown,observed_new,,
vpn,expressvpn,expressvpn-12m,2026-07_r1,https://www.expressvpn.com/pricing,2026-07-17T21:19:42.236Z,200,css_selector,text-proximity,€ 2.99 | l relay Most Popular Advanced € 2.99 / mo Save 80% 2 Years + 4 Months Billed €419.72 €83.72 for first 28 Months. Then au,EUR,month,e09e6705e7f44fd2,,prijsmeter-1.0.0/v1-2026-07,1.1435,2026-07-17,3.42,,,7.62,unknown,observed_new,,
